"Issue Type","Issue Id","Parent","Summary","Description","Priority","Story Points","Sprint","Labels","Labels","Acceptance Criteria"
"Epic","1","","Mechanical Design & 3D Printing","Design, print, and assemble all structural components of the 6-DoF arm using BambuLab printer.","High","","","phase-1-mvp","",""
"Epic","2","","Electronics & Wiring","Design and assemble the power system, motor drivers, encoders, and wiring harness.","High","","","phase-1-mvp","",""
"Epic","3","","Motor Control (SimpleFOC + ESP32)","Bring up SimpleFOC on ESP32: single motor, multi-motor, PID tuning, safety, and homing.","High","","","phase-1-mvp","",""
"Epic","4","","Manual Joint Setpoint Interface","User-facing interfaces for manual joint control: serial CLI, web dashboard, and gamepad.","High","","","phase-1-mvp","",""
"Epic","5","","MVP Integration & Testing","End-to-end integration testing, payload characterization, and documentation for MVP release.","High","","","phase-1-mvp","",""
"Epic","6","","Raspberry Pi Integration","Establish reliable high-speed communication between Raspberry Pi and ESP32, and set up RPi environment.","High","","","phase-2-vision","",""
"Epic","7","","Camera & Vision System","Set up high-speed camera, calibrate, implement color tracking, and estimate 3D target position.","High","","","phase-2-vision","",""
"Epic","8","","Inverse Kinematics Engine","Implement forward kinematics, IK solver, and workspace analysis for the 6-DoF arm.","High","","","phase-2-vision","",""
"Epic","9","","Path Planning","Trajectory interpolation in joint and Cartesian space, collision avoidance, and real-time tracking loop.","High","","","phase-2-vision","",""
"Epic","10","","Autonomous Ops & Demo","End-to-end autonomous demos, monitoring dashboard, performance metrics, and final documentation.","High","","","phase-2-vision","",""
"Story","101","1","Parametric CAD model of all 6 joints","As an engineer, I want a parametric CAD model of all 6 joints so that I can iterate on dimensions quickly.","Highest","8","Sprint 1","mechanical","phase-1-mvp","* Full 6-DoF assembly in Fusion 360 / SolidWorks
* Each joint parameterized (length, bore, offset)
* BOM exported"
"Story","102","1","Bearing housings and shaft couplers for iPower GM4108","As an engineer, I want bearing housings and shaft couplers designed for iPower GM4108 motors so that shafts are rigid and concentric.","Highest","5","Sprint 1","mechanical","phase-1-mvp","* Shaft coupler fits 8mm motor shaft
* Bearing seat tolerances +/-0.1mm
* Test-fit print verified"
"Story","103","1","Stable base plate with mounting holes","As an engineer, I want a stable base plate with mounting holes so the arm doesn't tip during operation.","Highest","3","Sprint 1","mechanical","phase-1-mvp","* Base footprint >= 150x150mm
* M4 mounting holes on 100mm grid
* Weighted or bolt-down option"
"Story","104","1","Modular end-effector mount","As an engineer, I want a modular end-effector mount so I can swap grippers or tool heads later.","High","3","Sprint 2","mechanical","phase-1-mvp","* Standard dovetail or bolt pattern
* Quick-release mechanism
* <= 50g added mass"
"Story","105","1","Optimized print orientation for all parts","As an engineer, I want all parts printed on BambuLab with optimized orientation so that layer lines don't weaken critical joints.","Highest","5","Sprint 2","mechanical","phase-1-mvp","* Print profiles documented (PLA/PETG, infill%, supports)
* Critical joints printed flat or with inserts
* Total print time < 30h"
"Story","106","1","Assembly guide with hardware BOM","As an engineer, I want an assembly guide with hardware BOM so that anyone can reproduce the build.","High","3","Sprint 3","mechanical","documentation","* Step-by-step photo assembly guide
* BOM with supplier links
* Fastener torque specs"
"Story","107","2","Power distribution board for all motors + ESP32","As an engineer, I want a power distribution board that supplies 12V to all 6 motors and 3.3V to the ESP32 so that the system runs from a single PSU.","Highest","5","Sprint 2","electronics","phase-1-mvp","* Single 12V 10A+ PSU input
* Per-motor fusing or polyfuse
* 3.3V buck converter for ESP32
* Reverse polarity protection"
"Story","108","2","Current sensing on Joint 1 and Joint 2","As an engineer, I want current sensing on at least Joint 1 and Joint 2 so I can detect stalls and overloads.","High","5","Sprint 3","electronics","phase-1-mvp","* INA219 or ACS712 per channel
* I2C readable from ESP32
* Alert threshold configurable"
